name,rating,genre,year,score,director,writer,star,budget,gross,runtime
History of the World: Part I,R,Comedy,1981,6.9,Mel Brooks,Mel Brooks,Mel Brooks,11000000,31672907,92
The Howling,R,Horror,1981,6.6,Joe Dante,Gary Brandner,Dee Wallace,1000000,17985893,91
Dragonslayer,PG,Action,1981,6.7,Matthew Robbins,Hal Barwood,Peter MacNicol,18000000,14110013,109
Cutter's Way,R,Crime,1981,6.9,Ivan Passer,Newton Thornburg,Jeff Bridges,3000000,1752634,109
Quest for Fire,R,Adventure,1981,7.3,Jean-Jacques Annaud,Gérard Brach,Everett McGill,12500000,20962615,100
The Final Conflict,R,Horror,1981,5.6,Graham Baker,David Seltzer,Sam Neill,5000000,20471382,108
Mommie Dearest,R,Biography,1981,6.7,Frank Perry,Christina Crawford,Faye Dunaway,5000000,19032261,129
Private Lessons,R,Comedy,1981,5.2,Alan Myerson,Dan Greenburg,Sylvia Kristel,2800000,26279000,87
The Postman Always Rings Twice,R,Crime,1981,6.6,Bob Rafelson,David Mamet,Jack Nicholson,12000000,12376625,122
Ragtime,PG,Drama,1981,7.3,Milos Forman,E.L. Doctorow,James Cagney,,14920781,155
Deadly Blessing,R,Horror,1981,5.6,Wes Craven,Glenn M. Benest,Maren Jensen,2500000,8279042,100
Eyewitness,R,Crime,1981,6,Peter Yates,Steve Tesich,William Hurt,8500000,6400000,103
Gallipoli,PG,Adventure,1981,7.4,Peter Weir,David Williamson,Mel Gibson,,5732587,110
Outland,R,Action,1981,6.6,Peter Hyams,Peter Hyams,Sean Connery,16000000,17374595,109
Southern Comfort,R,Action,1981,7.2,Walter Hill,Michael Kane,Keith Carradine,,,106
S.O.B.,R,Comedy,1981,6.4,Blake Edwards,Blake Edwards,Julie Andrews,12000000,14867086,122
The Beyond,R,Horror,1981,6.8,Lucio Fulci,Dardano Sacchetti,Catriona MacColl,400000,123843,87
Ghost Story,R,Drama,1981,6.3,John Irvin,Peter Straub,Craig Wasson,,23371905,110
My Bloody Valentine,R,Horror,1981,6.3,George Mihalka,Stephen A. Miller,Paul Kelman,,5672031,90
The Funhouse,R,Horror,1981,5.9,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,,7886857,96
One from the Heart,R,Drama,1981,6.5,Francis Ford Coppola,Armyan Bernstein,Frederic Forrest,26000000,636796,107
The French Lieutenant's Woman,R,Drama,1981,7,Karel Reisz,John Fowles,Meryl Streep,,26890068,124
The Great Muppet Caper,G,Adventure,1981,7.2,Jim Henson,Tom Patchett,Jim Henson,,31206251,97
True Confessions,R,Crime,1981,6.3,Ulu Grosbard,John Gregory Dunne,Robert De Niro,10000000,12850276,108
Looker,PG,Drama,1981,6.1,Michael Crichton,Michael Crichton,Albert Finney,8000000,,93
Nighthawks,R,Action,1981,6.4,Bruce Malmuth,David Shaber,Sylvester Stallone,5000000,19905359,99
Nice Dreams,R,Comedy,1981,6.2,Tommy Chong,Tommy Chong,Cheech Marin,,37000000,88
Sharky's Machine,R,Action,1981,6.3,Burt Reynolds,William Diehl,Burt Reynolds,,35610100,122
Neighbors,R,Comedy,1981,5.6,John G. Avildsen,Thomas Berger,John Belushi,8500000,29916207,94
Puberty Blues,R,Comedy,1981,5.9,Bruce Beresford,Margaret Kelly,Nell Schofield,,237000,87
Eye of the Needle,R,Romance,1981,7.1,Richard Marquand,Ken Follett,Donald Sutherland,,17583634,112
Wolfen,R,Horror,1981,6.3,Michael Wadleigh,Whitley Strieber,Albert Finney,17000000,10626725,115
Student Bodies,R,Comedy,1981,5.5,Mickey Rose,Mickey Rose,Kristen Riter,,5165432,86
Prince of the City,R,Crime,1981,7.5,Sidney Lumet,Jay Presson Allen,Treat Williams,8600000,8124257,167
The Hand,R,Drama,1981,5.5,Oliver Stone,Marc Brandel,Michael Caine,,2447576,104
Continental Divide,PG,Comedy,1981,6.2,Michael Apted,Lawrence Kasdan,John Belushi,,15578237,103
Diva,R,Music,1981,7.2,Jean-Jacques Beineix,Daniel Odier,Wilhelmenia Fernandez,,110014,117
Venom,R,Horror,1981,5.8,Piers Haggard,Alan Scholefield,Klaus Kinski,,5229643,92
Fort Apache the Bronx,R,Crime,1981,6.7,Daniel Petrie,Heywood Gould,Paul Newman,,29200000,125
Eyes of a Stranger,R,Horror,1981,6,Ken Wiederhorn,Ron Kurz,Lauren Tewes,800000,1118634,84
Zorro: The Gay Blade,PG,Action,1981,6.2,Peter Medak,Hal Dresner,George Hamilton,,,93
Under the Rainbow,PG,Comedy,1981,5.4,Steve Rash,Fred Bauer,Chevy Chase,20000000,18826490,98
Carbon Copy,PG,Comedy,1981,5.6,Michael Schultz,Stanley Shapiro,George Segal,6000000,9566593,92
The Incredible Shrinking Woman,PG,Comedy,1981,5.5,Joel Schumacher,Richard Matheson,Lily Tomlin,,20259961,88
The Night the Lights Went Out in Georgia,PG,Drama,1981,6,Ron Maxwell,Bob Bonney,Kristy McNichol,,14923752,112
