name,rating,genre,year,score,director,writer,star,budget,gross,runtime
Men in Black II,PG-13,Action,2002,6.2,Barry Sonnenfeld,Lowell Cunningham,Tommy Lee Jones,140000000,445135288,88
Lilo & Stitch,PG,Animation,2002,7.3,Dean DeBlois,Chris Sanders,Daveigh Chase,80000000,273144151,92
Chicago,PG-13,Comedy,2002,7.2,Rob Marshall,Bill Condon,Renée Zellweger,45000000,306776732,113
A Walk to Remember,PG,Drama,2002,7.3,Adam Shankman,Nicholas Sparks,Mandy Moore,11800000,47494916,101
Treasure Planet,PG,Animation,2002,7.2,Ron Clements,Robert Louis Stevenson,Joseph Gordon-Levitt,140000000,110041363,95
My Big Fat Greek Wedding,PG,Comedy,2002,6.6,Joel Zwick,Nia Vardalos,Nia Vardalos,5000000,368744044,95
We Were Soldiers,R,Action,2002,7.2,Randall Wallace,Harold G. Moore,Mel Gibson,75000000,115374915,138
The Sweetest Thing,R,Comedy,2002,5.2,Roger Kumble,Nancy M. Pimental,Cameron Diaz,43000000,69319426,84
xXx,PG-13,Action,2002,5.9,Rob Cohen,Rich Wilkes,Vin Diesel,70000000,277448382,124
Equilibrium,R,Action,2002,7.4,Kurt Wimmer,Kurt Wimmer,Christian Bale,20000000,5368217,107
The Scorpion King,PG-13,Action,2002,5.5,Chuck Russell,Stephen Sommers,Dwayne Johnson,60000000,180630907,92
Punch-Drunk Love,R,Comedy,2002,7.3,Paul Thomas Anderson,Paul Thomas Anderson,Adam Sandler,25000000,24675714,95
Die Another Day,PG-13,Action,2002,6.1,Lee Tamahori,Ian Fleming,Pierce Brosnan,142000000,431971116,133
The Time Machine,PG-13,Action,2002,6,Simon Wells,H.G. Wells,Guy Pearce,80000000,123729176,96
Bend It Like Beckham,PG-13,Comedy,2002,6.6,Gurinder Chadha,Gurinder Chadha,Parminder Nagra,,76585828,112
The Transporter,PG-13,Action,2002,6.8,Louis Leterrier,Luc Besson,Jason Statham,21000000,43928932,92
Blue Crush,PG-13,Drama,2002,5.7,John Stockwell,Susan Orlean,Kate Bosworth,25000000,51843679,104
Ghost Ship,R,Horror,2002,5.5,Steve Beck,Mark Hanlon,Julianna Margulies,20000000,68349884,91
Van Wilder,R,Comedy,2002,6.4,Walt Becker,Brent Goldberg,Ryan Reynolds,5000000,38275483,92
Maid in Manhattan,PG-13,Comedy,2002,5.3,Wayne Wang,John Hughes,Jennifer Lopez,55000000,154906693,105
Spirit: Stallion of the Cimarron,G,Animation,2002,7.2,Kelly Asbury,John Fusco,Matt Damon,80000000,122563539,83
Blade II,R,Action,2002,6.7,Guillermo del Toro,Marv Wolfman,Wesley Snipes,54000000,155010032,117
Frida,R,Biography,2002,7.4,Julie Taymor,Hayden Herrera,Salma Hayek,12000000,56298474,123
Phone Booth,R,Crime,2002,7,Joel Schumacher,Larry Cohen,Colin Farrell,13000000,97837138,81
About a Boy,PG-13,Comedy,2002,7.1,Chris Weitz,Nick Hornby,Hugh Grant,30000000,130549455,101
Confessions of a Dangerous Mind,R,Biography,2002,7,George Clooney,Chuck Barris,Sam Rockwell,30000000,33013805,113
Kung Pow: Enter the Fist,PG-13,Action,2002,6.2,Steve Oedekerk,Steve Oedekerk,Steve Oedekerk,10000000,16994625,81
Hero,PG-13,Action,2002,7.9,Yimou Zhang,Feng Li,Jet Li,31000000,177395557,120
Star Trek: Nemesis,PG-13,Action,2002,6.4,Stuart Baird,Gene Roddenberry,Patrick Stewart,60000000,67336470,116
Eight Legged Freaks,PG-13,Action,2002,5.4,Ellory Elkayem,Ellory Elkayem,David Arquette,30000000,45867333,99
Queen of the Damned,R,Drama,2002,5.3,Michael Rymer,Anne Rice,Aaliyah,35000000,45479110,101
Femme Fatale,R,Crime,2002,6.2,Brian De Palma,Brian De Palma,Rebecca Romijn,35000000,16838910,114
The Hours,PG-13,Drama,2002,7.5,Stephen Daldry,Michael Cunningham,Meryl Streep,25000000,108846072,110
40 Days and 40 Nights,R,Comedy,2002,5.6,Michael Lehmann,Rob Perez,Josh Hartnett,17000000,95146283,96
One Hour Photo,R,Drama,2002,6.8,Mark Romanek,Mark Romanek,Robin Williams,12000000,52223306,96
Cabin Fever,R,Horror,2002,5.6,Eli Roth,Eli Roth,Jordan Ladd,1500000,30553394,93
Secret Things,Unrated,Comedy,2002,6.1,Jean-Claude Brisseau,Jean-Claude Brisseau,Coralie Revel,,234255,115
The New Guy,PG-13,Comedy,2002,5.9,Ed Decter,David Kendall,DJ Qualls,13000000,31167388,88
Orange County,PG-13,Comedy,2002,6.2,Jake Kasdan,Mike White,Colin Hanks,18000000,43325009,82
Mr. Deeds,PG-13,Comedy,2002,5.8,Steven Brill,Clarence Budington Kelland,Adam Sandler,50000000,171269535,96
Devdas,Not Rated,Drama,2002,7.6,Sanjay Leela Bhansali,Saratchandra Chatterjee,Shah Rukh Khan,,5427830,185
John Q,PG-13,Crime,2002,7.1,Nick Cassavetes,James Kearns,Denzel Washington,36000000,102244770,116
Crossroads,PG-13,Comedy,2002,3.6,Tamra Davis,Shonda Rhimes,Britney Spears,12000000,61141030,93
25th Hour,R,Drama,2002,7.6,Spike Lee,David Benioff,Edward Norton,5000000,23932055,135
Infernal Affairs,R,Action,2002,8,Andrew Lau,Alan Mak,Andy Lau,6428966,8836958,101
Solaris,PG-13,Drama,2002,6.2,Steven Soderbergh,Stanislaw Lem,George Clooney,47000000,30002758,99
Like Mike,PG,Comedy,2002,5.3,John Schultz,Michael Elliot,Shad Moss,30000000,62274780,99
The Rules of Attraction,R,Comedy,2002,6.6,Roger Avary,Bret Easton Ellis,James Van Der Beek,4000000,11832822,110
I Spy,PG-13,Action,2002,5.4,Betty Thomas,Morton S. Fine,Eddie Murphy,70000000,51386477,97
The Mothman Prophecies,PG-13,Drama,2002,6.4,Mark Pellington,Richard Hatem,Richard Gere,32000000,55305279,119
Antwone Fisher,PG-13,Biography,2002,7.3,Denzel Washington,Antwone Fisher,Denzel Washington,12500000,23367586,120
The Good Girl,R,Drama,2002,6.4,Miguel Arteta,Mike White,Jennifer Aniston,8000000,16860964,93
Spun,Unrated,Comedy,2002,6.8,Jonas Åkerlund,Will De Los Santos,Jason Schwartzman,2000000,685608,101
Sympathy for Mr. Vengeance,R,Crime,2002,7.6,Park Chan-Wook,Myeong-chan Park,Kang-ho Song,4000000,2046061,129
Enough,PG-13,Crime,2002,5.8,Michael Apted,Nicholas Kazan,Jennifer Lopez,38000000,51806184,115
High Crimes,PG-13,Crime,2002,6.4,Carl Franklin,Joseph Finder,Jim Caviezel,42000000,63781810,115
Two Weeks Notice,PG-13,Comedy,2002,6.1,Marc Lawrence,Marc Lawrence,Sandra Bullock,60000000,199043471,101
Death to Smoochy,R,Comedy,2002,6.3,Danny DeVito,Adam Resnick,Robin Williams,50000000,8382938,109
The Four Feathers,PG-13,Action,2002,6.5,Shekhar Kapur,A.E.W. Mason,Heath Ledger,35000000,29882645,132
Better Luck Tomorrow,R,Crime,2002,7,Justin Lin,Ernesto Foronda,Parry Shen,250000,3809226,101
Big Fat Liar,PG,Adventure,2002,5.5,Shawn Levy,Dan Schneider,Frankie Muniz,15000000,52970014,88
About Schmidt,R,Comedy,2002,7.1,Alexander Payne,Louis Begley,Jack Nicholson,30000000,105834556,125
The Master of Disguise,PG,Adventure,2002,3.3,Perry Andelin Blake,Dana Carvey,Dana Carvey,16000000,43411001,80
Drumline,PG-13,Comedy,2002,5.9,Charles Stone III,Shawn Schepps,Nick Cannon,20000000,57588485,118
Halloween: Resurrection,R,Horror,2002,4,Rick Rosenthal,Debra Hill,Jamie Lee Curtis,13000000,37664855,94
Windtalkers,R,Action,2002,6.1,John Woo,John Rice,Nicolas Cage,115000000,77628265,134
Friday After Next,R,Comedy,2002,5.8,Marcus Raboy,Ice Cube,Ice Cube,10000000,33526835,85
Eye See You,R,Crime,2002,5.3,Jim Gillespie,Howard Swindle,Sylvester Stallone,55000000,6632383,96
Undercover Brother,PG-13,Action,2002,5.9,Malcolm D. Lee,John Ridley,Eddie Griffin,25000000,41604473,86
Spy Kids 2: Island of Lost Dreams,PG,Action,2002,5.2,Robert Rodriguez,Robert Rodriguez,Alexa PenaVega,38000000,119723358,100
Tuck Everlasting,PG,Drama,2002,6.6,Jay Russell,Natalie Babbitt,Alexis Bledel,15000000,19344615,90
The Rookie,G,Drama,2002,6.9,John Lee Hancock,Mike Rich,Dennis Quaid,22000000,80693537,127
Murder by Numbers,R,Crime,2002,6.2,Barbet Schroeder,Tony Gayton,Sandra Bullock,50000000,56714147,115
Hart's War,R,Drama,2002,6.3,Gregory Hoblit,John Katzenbach,Bruce Willis,70000000,32287044,125
Asterix & Obelix: Mission Cleopatra,PG,Adventure,2002,6.7,Alain Chabat,René Goscinny,Gérard Depardieu,,128027976,107
Swept Away,R,Comedy,2002,3.6,Guy Ritchie,Guy Ritchie,Madonna,10000000,1036520,89
May,R,Comedy,2002,6.6,Lucky McKee,Lucky McKee,Angela Bettis,500000,264349,93
Dragonfly,PG-13,Drama,2002,6.1,Tom Shadyac,Brandon Camp,Kevin Costner,60000000,52323400,104
Juwanna Mann,PG-13,Comedy,2002,4.6,Jesse Vaughan,Bradley Allenstein,Miguel A. Núñez Jr.,15600000,13802599,91
Divine Secrets of the Ya-Ya Sisterhood,PG-13,Drama,2002,6.1,Callie Khouri,Rebecca Wells,Sandra Bullock,27000000,73839240,116
Dirty Pretty Things,R,Crime,2002,7.3,Stephen Frears,Steven Knight,Chiwetel Ejiofor,10000000,13904766,97
Paid in Full,R,Action,2002,7.1,Charles Stone III,Azie Faison Jr.,Mekhi Phifer,,3116526,97
The Tuxedo,PG-13,Action,2002,5.4,Kevin Donovan,Phil Hay,Jackie Chan,60000000,104391623,98
Swimfan,PG-13,Drama,2002,5.1,John Polson,Charles F. Bohl,Jesse Bradford,10000000,34411240,85
Talk to Her,R,Drama,2002,7.9,Pedro Almodóvar,Pedro Almodóvar,Rosario Flores,,64790996,112
Lilya 4-Ever,R,Crime,2002,7.8,Lukas Moodysson,Lukas Moodysson,Oksana Akinshina,,1007747,109
Serving Sara,PG-13,Comedy,2002,5.3,Reginald Hudlin,Jay Scherick,Matthew Perry,29000000,20146150,99
K-19: The Widowmaker,PG-13,Drama,2002,6.7,Kathryn Bigelow,Louis Nowra,Harrison Ford,100000000,65716126,138
Stuart Little 2,PG,Animation,2002,5.5,Rob Minkoff,E.B. White,Michael J. Fox,120000000,169956806,77
Igby Goes Down,R,Comedy,2002,6.9,Burr Steers,Burr Steers,Kieran Culkin,9000000,6919198,98
24 Hour Party People,R,Biography,2002,7.3,Michael Winterbottom,Frank Cottrell Boyce,Steve Coogan,,2801397,117
Rollerball,PG-13,Action,2002,3.1,John McTiernan,William Harrison,Chris Klein,70000000,25852764,98
Changing Lanes,R,Drama,2002,6.5,Roger Michell,Chap Taylor,Ben Affleck,45000000,94935764,98
White Oleander,PG-13,Drama,2002,7.1,Peter Kosminsky,Janet Fitch,Michelle Pfeiffer,16000000,21672284,109
Below,R,Action,2002,6.2,David Twohy,Lucas Sussman,Bruce Greenwood,40000000,2622015,105
Big Trouble,PG-13,Comedy,2002,6.5,Barry Sonnenfeld,Dave Barry,Tim Allen,40000000,8493890,85
Far from Heaven,PG-13,Drama,2002,7.4,Todd Haynes,Todd Haynes,Julianne Moore,13500000,29027914,107
Bubba Ho-Tep,R,Comedy,2002,7,Don Coscarelli,Joe R. Lansdale,Bruce Campbell,1000000,1239183,92
S1m0ne,PG-13,Comedy,2002,6.1,Andrew Niccol,Andrew Niccol,Al Pacino,10000000,19576023,117
Auto Focus,R,Biography,2002,6.6,Paul Schrader,Robert Graysmith,Greg Kinnear,7000000,2704951,105
Blood Work,R,Action,2002,6.4,Clint Eastwood,Michael Connelly,Clint Eastwood,50000000,31794718,110
Collateral Damage,R,Action,2002,5.5,Andrew Davis,Ronald Roose,Arnold Schwarzenegger,85000000,78382433,108
Undisputed,R,Action,2002,6.2,Walter Hill,David Giler,Wesley Snipes,20000000,14946150,94
The Salton Sea,R,Crime,2002,7.1,D.J. Caruso,Tony Gayton,Val Kilmer,18000000,1073198,103
Ju-on: The Grudge,R,Horror,2002,6.7,Takashi Shimizu,Takashi Shimizu,Megumi Okina,3500000,3657876,92
Barbershop,PG-13,Comedy,2002,6.3,Tim Story,Mark Brown,Ice Cube,12000000,77063924,102
Whale Rider,PG-13,Drama,2002,7.5,Niki Caro,Niki Caro,Keisha Castle-Hughes,3500000,41062976,101
Rabbit-Proof Fence,PG,Adventure,2002,7.4,Phillip Noyce,Doris Pilkington,Everlyn Sampi,6000000,16217411,94
Trapped,R,Action,2002,6.2,Luis Mandoki,Greg Iles,Kevin Bacon,30000000,13414416,106
Narc,R,Crime,2002,7.1,Joe Carnahan,Joe Carnahan,Ray Liotta,6500000,12633747,105
In America,PG-13,Drama,2002,7.7,Jim Sheridan,Jim Sheridan,Paddy Considine,,25382911,105
Dark Blue,R,Crime,2002,6.6,Ron Shelton,James Ellroy,Kurt Russell,15000000,12150301,118
Dahmer,R,Biography,2002,5.6,David Jacobson,David Birke,Jeremy Renner,250000,144008,101
Boat Trip,R,Comedy,2002,4.9,Mort Nathan,Mort Nathan,Cuba Gooding Jr.,20000000,15020293,94
The Magdalene Sisters,R,Drama,2002,7.7,Peter Mullan,Peter Mullan,Eileen Walsh,,21107578,114
Nicholas Nickleby,PG,Adventure,2002,7.1,Douglas McGrath,Charles Dickens,Charlie Hunnam,10000000,3651462,132
Bad Company,PG-13,Action,2002,5.6,Joel Schumacher,Gary M. Goodman,Anthony Hopkins,70000000,66200782,116
8 Women,R,Comedy,2002,7.1,François Ozon,François Ozon,Fanny Ardant,,42426583,111
Spider,R,Drama,2002,6.8,David Cronenberg,Patrick McGrath,Ralph Fiennes,10000000,5808941,98
Snow Dogs,PG,Adventure,2002,5.2,Brian Levant,Jim Kouf,Cuba Gooding Jr.,33000000,115035090,99
The Quiet American,R,Drama,2002,7.1,Phillip Noyce,Graham Greene,Michael Caine,30000000,27674124,101
The Santa Clause 2,G,Comedy,2002,5.7,Michael Lembeck,Don Rhymer,Tim Allen,65000000,172855065,104
Laurel Canyon,R,Drama,2002,6.4,Lisa Cholodenko,Lisa Cholodenko,Frances McDormand,,4412203,103
Slackers,R,Comedy,2002,5.4,Dewey Nicks,David H. Steinberg,Devon Sawa,14000000,6413915,86
Sorority Boys,R,Comedy,2002,5.5,Wallace Wolodarsky,Joe Jarvis,Barry Watson,12000000,12517488,93
The Country Bears,G,Comedy,2002,4.2,Peter Hastings,Mark Perez,Haley Joel Osment,35000000,18012097,88
All About the Benjamins,R,Action,2002,5.9,Kevin Bray,Ronald Lang,Ice Cube,15000000,26306533,95
Abandon,PG-13,Drama,2002,4.9,Stephen Gaghan,Stephen Gaghan,Katie Holmes,25000000,12302219,99
Gerry,R,Adventure,2002,6.1,Gus Van Sant,Casey Affleck,Casey Affleck,3500000,254683,103
The Spanish Apartment,R,Comedy,2002,7.3,Cédric Klapisch,Cédric Klapisch,Romain Duris,,33272835,122
Clockstoppers,PG,Action,2002,5.2,Jonathan Frakes,Rob Hedden,Jesse Bradford,26000000,38793283,94
Pumpkin,R,Comedy,2002,6.1,Anthony Abrams,Adam Larson Broder,Christina Ricci,,308552,113
Peter Pan 2: Return to Never Land,G,Animation,2002,5.8,Robin Budd,Temple Mathews,Blayne Weaver,20000000,115121981,72
Russian Ark,Not Rated,Drama,2002,7.4,Aleksandr Sokurov,Boris Khaimsky,Sergey Dreyden,,8690168,99
Poolhall Junkies,R,Comedy,2002,6.9,Mars Callahan,Mars Callahan,Mars Callahan,4000000,563711,99
Feardotcom,R,Crime,2002,3.4,William Malone,Moshe Diamant,Stephen Dorff,40000000,18902015,101
Morvern Callar,R,Drama,2002,6.8,Lynne Ramsay,Lynne Ramsay,Samantha Morton,,772336,97
No Good Deed,R,Crime,2002,5.4,Bob Rafelson,Dashiell Hammett,Samuel L. Jackson,12000000,1440653,97
Darkness,PG-13,Horror,2002,5.4,Jaume Balagueró,Jaume Balagueró,Anna Paquin,10600000,33988736,88
Analyze That,R,Comedy,2002,5.9,Harold Ramis,Kenneth Lonergan,Robert De Niro,60000000,55003135,96
The Banger Sisters,R,Comedy,2002,5.6,Bob Dolman,Bob Dolman,Susan Sarandon,10000000,38068353,98
Demonlover,R,Drama,2002,5.9,Olivier Assayas,Olivier Assayas,Connie Nielsen,,462976,129
The Wild Thornberrys,PG,Animation,2002,5.6,Cathy Malkasian,Arlene Klasky,Tim Curry,25000000,60694737,85
The Adventures of Pluto Nash,PG-13,Action,2002,3.8,Ron Underwood,Neil Cuthbert,Eddie Murphy,100000000,7103973,95
Bloody Sunday,R,Drama,2002,7.6,Paul Greengrass,Paul Greengrass,James Nesbitt,,1758689,107
Eight Crazy Nights,PG-13,Animation,2002,5.3,Seth Kearsley,Brooks Arthur,Adam Sandler,34000000,23833131,76
Full Frontal,R,Comedy,2002,4.7,Steven Soderbergh,Coleman Hough,Julia Roberts,2000000,3438804,101
Moonlight Mile,PG-13,Drama,2002,6.6,Brad Silberling,Brad Silberling,Jake Gyllenhaal,21000000,10011050,117
Half Past Dead,PG-13,Action,2002,4.6,Don Michael Paul,Don Michael Paul,Morris Chestnut,13000000,19233280,98
Life or Something Like It,PG-13,Comedy,2002,5.8,Stephen Herek,John Scott Shepherd,Angelina Jolie,40000000,16872671,103
Showtime,PG-13,Action,2002,5.5,Tom Dey,Jorge Saralegui,Robert De Niro,85000000,77885672,95
Open Hearts,R,Drama,2002,7.5,Susanne Bier,Susanne Bier,Sonja Richter,,1692272,113
Ted Bundy,R,Biography,2002,5.8,Matthew Bright,Stephen Johnston,Michael Reilly Burke,1200000,68716,99
Sex Is Comedy,R,Comedy,2002,5.6,Catherine Breillat,Catherine Breillat,Anne Parillaud,,411830,92
Ballistic: Ecks vs. Sever,R,Action,2002,3.7,Wych Kaosayananda,Alan B. McElroy,Antonio Banderas,70000000,20154899,91
Brown Sugar,PG-13,Comedy,2002,6.5,Rick Famuyiwa,Michael Elliot,Taye Diggs,8000000,28316451,109
Deuces Wild,R,Action,2002,5.6,Scott Kalvert,Paul Kimatian,Stephen Dorff,10000000,6282446,96
Pinocchio,G,Comedy,2002,4.4,Roberto Benigni,Roberto Benigni,Roberto Benigni,,44310395,108
The Emperor's Club,PG-13,Drama,2002,6.9,Michael Hoffman,Ethan Canin,Kevin Kline,12500000,16318449,109
All or Nothing,R,Drama,2002,7.5,Mike Leigh,Mike Leigh,Timothy Spall,9000000,2845696,128
Sweet Sixteen,R,Crime,2002,7.4,Ken Loach,Paul Laverty,Martin Compston,,3633509,106
Real Women Have Curves,PG-13,Comedy,2002,6.9,Patricia Cardoso,Josefina Lopez,America Ferrera,3000000,7777790,90
The Crocodile Hunter: Collision Course,PG,Action,2002,5.4,John Stainton,John Stainton,Steve Irwin,12000000,33082548,90
Possession,PG-13,Drama,2002,6.3,Neil LaBute,A.S. Byatt,Gwyneth Paltrow,25000000,14815898,102
City by the Sea,R,Crime,2002,6.1,Michael Caton-Jones,Mike McAlary,Robert De Niro,40000000,29676703,108
Heaven,R,Crime,2002,7,Tom Tykwer,Krzysztof Kieslowski,Cate Blanchett,11000000,4247089,97
XX/XY,R,Drama,2002,5.9,Austin Chick,Austin Chick,Mark Ruffalo,,104130,91
Sonny,R,Crime,2002,5.6,Nicolas Cage,John Carlen,James Franco,,132221,110
Kill Bill: Vol. 1,R,Action,2003,8.1,Quentin Tarantino,Quentin Tarantino,Uma Thurman,30000000,180906076,111
Pirates of the Caribbean: the Curse of the Black Pearl,PG-13,Action,2003,8,Gore Verbinski,Ted Elliott,Johnny Depp,140000000,654264015,143
The Lord of the Rings: The Return of the King,PG-13,Action,2003,8.9,Peter Jackson,J.R.R. Tolkien,Elijah Wood,94000000,1146030912,201
Old School,R,Comedy,2003,7.1,Todd Phillips,Court Crandall,Luke Wilson,24000000,87135520,88
Mystic River,R,Crime,2003,7.9,Clint Eastwood,Brian Helgeland,Sean Penn,25000000,156595191,138
Love Actually,R,Comedy,2003,7.6,Richard Curtis,Richard Curtis,Hugh Grant,40000000,245203167,135
The Life of David Gale,R,Crime,2003,7.5,Alan Parker,Charles Randolph,Kevin Spacey,38000000,38955598,130
2 Fast 2 Furious,PG-13,Action,2003,5.9,John Singleton,Gary Scott Thompson,Paul Walker,76000000,236350661,107
Underworld,R,Action,2003,7,Len Wiseman,Kevin Grevioux,Kate Beckinsale,22000000,95708457,121
Oldboy,R,Action,2003,8.4,Park Chan-Wook,Garon Tsuchiya,Choi Min-sik,3000000,15189934,120
Lost in Translation,R,Comedy,2003,7.7,Sofia Coppola,Sofia Coppola,Bill Murray,4000000,118686937,102
Looney Tunes: Back in Action,PG,Animation,2003,5.7,Joe Dante,Larry Doyle,Brendan Fraser,80000000,68514844,91
Big Fish,PG-13,Adventure,2003,8,Tim Burton,Daniel Wallace,Ewan McGregor,70000000,123218424,125
The Matrix Reloaded,R,Action,2003,7.2,Lana Wachowski,Lilly Wachowski,Keanu Reeves,150000000,741847937,138
The Dreamers,NC-17,Drama,2003,7.2,Bernardo Bertolucci,Gilbert Adair,Michael Pitt,15000000,24152155,115
Memories of Murder,Not Rated,Crime,2003,8.1,Bong Joon Ho,Bong Joon Ho,Kang-ho Song,2800000,1162593,132
Finding Nemo,G,Animation,2003,8.1,Andrew Stanton,Andrew Stanton,Albert Brooks,94000000,940352645,100
Hulk,PG-13,Action,2003,5.6,Ang Lee,Stan Lee,Eric Bana,137000000,245285165,138
School of Rock,PG-13,Comedy,2003,7.1,Richard Linklater,Mike White,Jack Black,35000000,131095990,109
Thirteen,R,Drama,2003,6.8,Catherine Hardwicke,Catherine Hardwicke,Evan Rachel Wood,2000000,10128960,100
Wrong Turn,R,Horror,2003,6.1,Rob Schmidt,Alan B. McElroy,Eliza Dushku,12600000,28650575,84
The Italian Job,PG-13,Action,2003,7,F. Gary Gray,Troy Kennedy-Martin,Donald Sutherland,60000000,176070171,111
Terminator 3: Rise of the Machines,R,Action,2003,6.3,Jonathan Mostow,John Brancato,Arnold Schwarzenegger,200000000,433371112,109
Peter Pan,PG,Adventure,2003,6.8,P.J. Hogan,J.M. Barrie,Jeremy Sumpter,100000000,121975011,113
Monster,R,Biography,2003,7.3,Patty Jenkins,Patty Jenkins,Charlize Theron,8000000,58469210,109
The Matrix Revolutions,R,Action,2003,6.7,Lana Wachowski,Lilly Wachowski,Keanu Reeves,150000000,427344325,129
Daredevil,PG-13,Action,2003,5.3,Mark Steven Johnson,Mark Steven Johnson,Ben Affleck,78000000,179179718,103
Master and Commander: the Far Side of the World,PG-13,Action,2003,7.4,Peter Weir,Patrick O'Brian,Russell Crowe,150000000,211622535,138
The Missing,R,Adventure,2003,6.5,Ron Howard,Thomas Eidson,Tommy Lee Jones,60000000,38364277,137
The Room,R,Drama,2003,3.7,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau,6000000,4988181,99
The Texas Chainsaw Massacre,R,Crime,2003,6.2,Marcus Nispel,Kim Henkel,Jessica Biel,9500000,107363905,98
S.W.A.T.,PG-13,Action,2003,6,Clark Johnson,Robert Hamner,Samuel L. Jackson,80000000,207725639,117
The Last Samurai,R,Action,2003,7.7,Edward Zwick,John Logan,Tom Cruise,140000000,454627263,154
Holes,PG,Adventure,2003,7,Andrew Davis,Louis Sachar,Shia LaBeouf,20000000,71406573,117
Timeline,PG-13,Action,2003,5.7,Richard Donner,Michael Crichton,Paul Walker,80000000,43935763,116
X2: X-Men United,PG-13,Action,2003,7.4,Bryan Singer,Zak Penn,Patrick Stewart,110000000,407711549,134
The Rundown,PG-13,Action,2003,6.7,Peter Berg,R.J. Stewart,Dwayne Johnson,85000000,80981914,104
House of 1000 Corpses,R,Horror,2003,6.1,Rob Zombie,Rob Zombie,Sid Haig,7000000,16829545,89
Identity,R,Mystery,2003,7.3,James Mangold,Michael Cooney,John Cusack,28000000,90259536,90
Once Upon a Time in Mexico,R,Action,2003,6.4,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,29000000,98769390,102
Swimming Pool,,Crime,2003,6.7,François Ozon,François Ozon,Charlotte Rampling,,22441497,102
Cold Mountain,R,Adventure,2003,7.2,Anthony Minghella,Charles Frazier,Jude Law,79000000,173013509,154
Cheaper by the Dozen,PG,Comedy,2003,5.9,Shawn Levy,Frank B. Gilbreth Jr.,Steve Martin,40000000,190538630,98
In the Cut,R,Mystery,2003,5.3,Jane Campion,Jane Campion,Meg Ryan,12000000,23726793,119
Secondhand Lions,PG,Comedy,2003,7.5,Tim McCanlies,Tim McCanlies,Haley Joel Osment,30000000,48260279,109
Scary Movie 3,PG-13,Comedy,2003,5.5,David Zucker,Craig Mazin,Anna Faris,48000000,220673217,84
How to Lose a Guy in 10 Days,PG-13,Comedy,2003,6.4,Donald Petrie,Michele Alexander,Kate Hudson,50000000,177502387,116
The League of Extraordinary Gentlemen,PG-13,Action,2003,5.8,Stephen Norrington,Alan Moore,Sean Connery,78000000,179265204,110
What a Girl Wants,PG,Comedy,2003,5.8,Dennie Gordon,William Douglas-Home,Amanda Bynes,25000000,50732139,105
Bad Boys II,R,Action,2003,6.6,Michael Bay,George Gallo,Will Smith,130000000,273339556,147
Open Range,R,Action,2003,7.4,Kevin Costner,Lauran Paine,Kevin Costner,22000000,68296293,139
Mona Lisa Smile,PG-13,Drama,2003,6.5,Mike Newell,Lawrence Konner,Julia Roberts,65000000,141337989,117
Freddy vs. Jason,R,Action,2003,5.7,Ronny Yu,Wes Craven,Robert Englund,30000000,116632628,97
Bruce Almighty,PG-13,Comedy,2003,6.7,Tom Shadyac,Steve Koren,Jim Carrey,81000000,484592874,101
Dogville,R,Crime,2003,8,Lars von Trier,Lars von Trier,Nicole Kidman,10000000,16689283,178
Elf,PG,Adventure,2003,7,Jon Favreau,David Berenbaum,Will Ferrell,33000000,223853736,97
Freaky Friday,PG,Comedy,2003,6.2,Mark Waters,Mary Rodgers,Jamie Lee Curtis,20000000,160846332,97
Charlie's Angels: Full Throttle,PG-13,Action,2003,4.9,McG,Ivan Goff,Drew Barrymore,120000000,259175788,106
Legally Blonde 2,PG-13,Comedy,2003,4.8,Charles Herman-Wurmfeld,Amanda Brown,Reese Witherspoon,45000000,124914842,95
Dickie Roberts: Former Child Star,PG-13,Comedy,2003,5.6,Sam Weisman,Fred Wolf,David Spade,17000000,23769505,98
Anger Management,PG-13,Comedy,2003,6.2,Peter Segal,David Dorfman,Jack Nicholson,75000000,195745823,106
Open Water,R,Adventure,2003,5.7,Chris Kentis,Chris Kentis,Blanchard Ryan,500000,54683487,79
Something's Gotta Give,PG-13,Comedy,2003,6.7,Nancy Meyers,Nancy Meyers,Jack Nicholson,80000000,265328738,128
Girl with a Pearl Earring,PG-13,Biography,2003,6.9,Peter Webber,Tracy Chevalier,Scarlett Johansson,12000000,33030115,100
The Cat in the Hat,PG,Adventure,2003,4,Bo Welch,Dr. Seuss,Mike Myers,109000000,133960541,82
Brother Bear,G,Animation,2003,6.8,Aaron Blaise,Tab Murphy,Joaquin Phoenix,128000000,250397798,85
The Brown Bunny,Not Rated,Drama,2003,5,Vincent Gallo,Vincent Gallo,Vincent Gallo,10000000,402599,93
Tears of the Sun,R,Action,2003,6.6,Antoine Fuqua,Alex Lasker,Bruce Willis,75000000,86468162,121
Final Destination 2,R,Horror,2003,6.2,David R. Ellis,J. Mackye Gruber,A.J. Cook,26000000,90941129,90
21 Grams,R,Crime,2003,7.6,Alejandro G. Iñárritu,Guillermo Arriaga,Sean Penn,20000000,60427839,124
Intolerable Cruelty,PG-13,Comedy,2003,6.2,Joel Coen,Robert Ramsey,George Clooney,60000000,120801243,100
Johnny English,PG,Action,2003,6.2,Peter Howitt,Neal Purvis,Rowan Atkinson,40000000,160466000,87
